location_name_1,N_1,E_1,X_1,Y_1,location_name_2,N_2,E_2,X_2,Y_2
grab_1216908647.318,4994.928,-3023.441,-2892.03,5058.007,grab_1216904541.487,4993.276,-3019.528,-2888.173,5056.267
grab_1216908662.125,4991.21,-3017.48,-2886.182,5054.156,grab_1216908018.296,4988.612,-3018.339,-2887.1,5051.583
grab_1216908678.463,4987.743,-3012.651,-2881.456,5050.583,grab_1216908016.595,4986.539,-3014.175,-2883.003,5049.416
grab_1216908679.824,4985.295,-3008.686,-2877.566,5048.046,grab_1216904557.318,4984.349,-3008.709,-2877.612,5047.102
grab_1216908680.845,4983.482,-3004.505,-2873.445,5046.139,grab_1216904558.844,4982.276,-3004.523,-2873.492,5044.936
grab_1216908681.865,4982.865,-3000.754,-2869.725,5045.436,grab_1216904559.867,4981.26,-2998.82,-2867.837,5043.788
grab_1216908682.885,4983.596,-2996.437,-2865.409,5046.065,grab_1216904561.401,4982.147,-2994.978,-2863.99,5044.584
grab_1216908684.416,4986.722,-2991.992,-2860.908,5049.083,grab_1216904562.928,4985.15,-2991.024,-2859.982,5047.491
grab_1216908685.948,4991.931,-2988.917,-2857.722,5054.212,grab_1216904564.124,4992.65,-2986.715,-2855.513,5054.878
grab_1216908686.970,4996.448,-2986.884,-2855.591,5058.674,grab_1216904565.375,4998.224,-2984.65,-2853.323,5060.396
grab_1216908687.992,5004.047,-2983.889,-2852.427,5066.191,grab_1216904566.338,5003.634,-2982.476,-2851.03,5065.746
grab_1216908689.012,5005.173,-2983.283,-2851.796,5067.302,grab_1216904566.338,5003.634,-2982.476,-2851.03,5065.746
grab_1216908689.178,5013.919,-2979.635,-2847.956,5075.948,grab_1216904567.183,5011.519,-2979.154,-2847.534,5073.541
grab_1216908690.541,5018.619,-2977.675,-2845.893,5080.595,grab_1216904568.204,5017.643,-2976.572,-2844.817,5079.595
grab_1216908691.562,5024.922,-2975.385,-2843.463,5086.835,grab_1216904569.224,5023.294,-2974.439,-2842.559,5085.187
grab_1216908692.583,5029.939,-2974.157,-2842.12,5091.815,grab_1216904571.779,5032.976,-2971.952,-2839.852,5094.796
grab_1216908693.618,5036.128,-2973.566,-2841.384,5097.98,grab_1216904571.779,5032.976,-2971.952,-2839.852,5094.796
grab_1216908694.623,5042.527,-2973.519,-2841.186,5104.368,grab_1216904588.457,5041.359,-2971.929,-2839.63,5103.165
grab_1216908695.645,5047.477,-2972.795,-2840.347,5109.293,grab_1216904589.985,5047.627,-2971.121,-2838.676,5109.404
grab_1216908696.666,5053.627,-2969.099,-2836.52,5115.347,grab_1216904591.004,5052.837,-2968.023,-2835.468,5114.533
grab_1216908697.688,5056.972,-2964.061,-2831.424,5118.569,grab_1216904592.030,5056.039,-2962.718,-2830.108,5117.606
grab_1216908698.716,5057.914,-2957.853,-2825.219,5119.365,grab_1216904593.050,5056.278,-2956.423,-2823.835,5117.699
grab_1216908699.732,5055.864,-2951.93,-2819.37,5117.18,grab_1216904593.050,5056.278,-2956.423,-2823.835,5117.699
grab_1216908700.753,5050.233,-2945.281,-2812.883,5111.404,grab_1216904595.089,5047.528,-2944.344,-2812.014,5108.682
grab_1216908701.773,5045.306,-2941.039,-2808.776,5106.386,grab_1216904595.089,5047.528,-2944.344,-2812.014,5108.682
grab_1216908702.793,5038.455,-2935.016,-2802.941,5099.406,grab_1216904596.111,5039.195,-2936.677,-2804.578,5100.184
grab_1216908703.824,5029.721,-2927.053,-2795.219,5090.501,grab_1216904597.313,5029.094,-2926.9,-2795.082,5089.871
grab_1216908704.836,5028.287,-2925.709,-2793.914,5089.038,grab_1216904597.313,5029.094,-2926.9,-2795.082,5089.871
grab_1216908705.009,5019.126,-2916.965,-2785.425,5079.688,grab_1216904598.834,5019.577,-2917.516,-2785.963,5080.151
grab_1216908706.368,5015.937,-2913.729,-2782.279,5076.429,grab_1216904599.690,5017.928,-2915.856,-2784.35,5078.466
grab_1216908706.538,5009.287,-2907.056,-2775.792,5069.634,grab_1216904599.855,5011.022,-2909.016,-2777.702,5071.412
grab_1216908707.391,5007.585,-2905.315,-2774.098,5067.894,grab_1216904599.855,5011.022,-2909.016,-2777.702,5071.412
grab_1216908707.620,4998.778,-2896.464,-2765.494,5058.896,grab_1216904601.735,5000.387,-2898.272,-2767.256,5060.544
grab_1216908708.584,4998.778,-2896.464,-2765.494,5058.896,grab_1216904601.735,5000.387,-2898.272,-2767.256,5060.544
grab_1216908708.749,4996.966,-2894.64,-2763.721,5057.044,grab_1216904601.735,5000.387,-2898.272,-2767.256,5060.544
grab_1216908709.092,4985.841,-2883.448,-2752.84,5045.676,grab_1216904602.918,4983.966,-2881.956,-2751.399,5043.769
grab_1216908709.943,4983.938,-2881.564,-2751.009,5043.732,grab_1216904602.918,4983.966,-2881.956,-2751.399,5043.769
grab_1216908710.112,4978.174,-2875.831,-2745.437,5037.845,grab_1216904603.773,4980.141,-2878.188,-2747.737,5039.863
grab_1216908710.965,4978.174,-2875.831,-2745.437,5037.845,grab_1216904603.773,4980.141,-2878.188,-2747.737,5039.863
grab_1216908711.132,4966.259,-2864.333,-2734.271,5025.681,grab_1216904604.960,4960.423,-2858.506,-2728.607,5019.719
grab_1216908711.985,4964.264,-2862.378,-2732.371,5023.644,grab_1216904604.960,4960.423,-2858.506,-2728.607,5019.719
grab_1216908712.153,4956.251,-2854.5,-2724.717,5015.46,grab_1216904606.143,4958.375,-2856.469,-2726.628,5017.627
grab_1216908713.007,4954.22,-2852.521,-2722.795,5013.387,grab_1216904606.143,4958.375,-2856.469,-2726.628,5017.627
grab_1216908713.175,4946.003,-2844.662,-2715.164,5005.0,grab_1216904607.357,4945.814,-2844.025,-2714.534,5004.796
grab_1216908714.037,4941.699,-2840.767,-2711.388,5000.612,grab_1216904607.357,4945.814,-2844.025,-2714.534,5004.796
grab_1216908714.197,4935.405,-2834.723,-2705.519,4994.187,grab_1216904607.513,4937.317,-2835.423,-2706.17,4996.113
grab_1216908715.050,4933.302,-2832.673,-2703.528,4992.039,grab_1216904607.513,4937.317,-2835.423,-2706.17,4996.113
grab_1216908715.216,4923.079,-2822.548,-2693.688,4981.597,grab_1216904608.536,4924.607,-2823.009,-2694.111,4983.134
grab_1216908716.070,4920.865,-2820.462,-2691.663,4979.338,grab_1216904608.536,4924.607,-2823.009,-2694.111,4983.134
grab_1216908716.236,4912.631,-2812.498,-2683.928,4970.933,grab_1216904609.556,4913.852,-2812.641,-2684.042,4972.155
grab_1216908717.092,4912.631,-2812.498,-2683.928,4970.933,grab_1216904609.556,4913.852,-2812.641,-2684.042,4972.155
grab_1216908717.258,4897.96,-2797.498,-2669.34,4955.936,grab_1216904611.433,4900.779,-2799.886,-2671.651,4958.805
grab_1216908718.622,4897.96,-2797.498,-2669.34,4955.936,grab_1216904611.433,4900.779,-2799.886,-2671.651,4958.805
grab_1216908718.795,4886.978,-2786.538,-2658.688,4944.716,grab_1216904612.462,4890.02,-2788.897,-2660.964,4947.808
grab_1216908719.640,4886.978,-2786.538,-2658.688,4944.716,grab_1216904612.462,4890.02,-2788.897,-2660.964,4947.808
grab_1216908719.810,4869.328,-2768.87,-2641.513,4926.682,grab_1216904613.640,4869.867,-2768.802,-2641.433,4927.219
grab_1216908721.214,4869.328,-2768.87,-2641.513,4926.682,grab_1216904613.640,4869.867,-2768.802,-2641.433,4927.219
grab_1216908721.342,4857.554,-2757.685,-2630.655,4914.666,grab_1216904614.661,4851.804,-2750.561,-2623.697,4908.76
grab_1216908722.195,4855.231,-2755.481,-2628.515,4912.297,grab_1216904614.661,4851.804,-2750.561,-2623.697,4908.76
grab_1216908722.364,4845.967,-2746.412,-2619.705,4902.836,grab_1216904616.023,4849.558,-2748.278,-2621.478,4906.464
grab_1216908723.221,4845.967,-2746.412,-2619.705,4902.836,grab_1216904616.023,4849.558,-2748.278,-2621.478,4906.464
grab_1216908723.386,4834.27,-2735.091,-2608.709,4890.894,grab_1216904617.216,4831.402,-2730.035,-2603.742,4887.913
grab_1216908724.251,4831.969,-2732.772,-2606.455,4888.542,grab_1216904617.216,4831.402,-2730.035,-2603.742,4887.913
grab_1216908724.406,4822.748,-2723.429,-2597.37,4879.118,grab_1216904617.216,4831.402,-2730.035,-2603.742,4887.913
grab_1216908725.262,4822.748,-2723.429,-2597.37,4879.118,grab_1216904617.216,4831.402,-2730.035,-2603.742,4887.913
grab_1216908725.428,4810.911,-2711.748,-2586.02,4867.028,grab_1216904618.238,4815.248,-2714.24,-2588.399,4871.416
grab_1216908726.280,4806.032,-2707.058,-2581.466,4862.048,grab_1216904619.429,4805.944,-2705.263,-2579.68,4861.918
grab_1216908726.448,4798.592,-2700.078,-2574.692,4854.457,grab_1216904620.280,4803.584,-2703.081,-2577.563,4859.511
grab_1216908727.302,4796.05,-2697.743,-2572.427,4851.865,grab_1216904620.478,4793.973,-2694.567,-2569.314,4849.717
grab_1216908727.467,4785.863,-2688.48,-2563.445,4841.478,grab_1216904621.468,4779.706,-2681.312,-2556.453,4835.164
grab_1216908728.321,4778.274,-2681.497,-2556.671,4833.739,grab_1216904621.468,4779.706,-2681.312,-2556.453,4835.164
grab_1216908729.003,4775.733,-2679.161,-2554.406,4831.147,grab_1216904621.468,4779.706,-2681.312,-2556.453,4835.164
grab_1216908729.208,4763.053,-2667.828,-2543.422,4818.223,grab_1216904623.346,4767.571,-2670.497,-2545.972,4822.796
grab_1216908730.192,4760.307,-2665.522,-2541.191,4815.428,grab_1216904623.544,4755.315,-2660.117,-2535.927,4810.318
grab_1216908730.364,4752.144,-2658.49,-2534.383,4807.115,grab_1216904623.544,4755.315,-2660.117,-2535.927,4810.318
grab_1216908731.044,4746.537,-2654.025,-2530.07,4801.412,grab_1216904624.532,4745.358,-2652.089,-2528.17,4800.19
grab_1216908731.247,4734.9,-2644.889,-2521.249,4789.581,grab_1216904625.384,4740.294,-2648.2,-2524.417,4795.043
grab_1216908732.066,4734.9,-2644.889,-2521.249,4789.581,grab_1216904625.384,4740.294,-2648.2,-2524.417,4795.043
grab_1216908732.233,4723.102,-2636.336,-2513.012,4777.602,grab_1216904625.588,4728.008,-2638.267,-2514.818,4782.546
grab_1216908733.088,4716.513,-2631.802,-2508.653,4770.918,grab_1216904626.574,4716.153,-2628.172,-2505.047,4770.474
grab_1216908733.290,4701.856,-2620.974,-2498.219,4756.032,grab_1216904628.453,4701.973,-2619.942,-2497.189,4756.125
grab_1216908734.108,4701.856,-2620.974,-2498.219,4756.032,grab_1216904628.453,4701.973,-2619.942,-2497.189,4756.125
grab_1216908734.287,4687.414,-2610.484,-2488.117,4741.369,grab_1216904628.652,4689.306,-2610.494,-2488.082,4743.257
grab_1216908735.128,4687.414,-2610.484,-2488.117,4741.369,grab_1216904628.652,4689.306,-2610.494,-2488.082,4743.257
grab_1216908735.358,4672.741,-2600.346,-2478.37,4726.483,grab_1216904630.492,4676.367,-2601.512,-2479.445,4730.13
grab_1216908736.320,4669.783,-2598.391,-2476.494,4723.484,grab_1216904630.492,4676.367,-2601.512,-2479.445,4730.13
grab_1216908736.490,4663.885,-2594.448,-2472.708,4717.503,grab_1216904630.691,4663.198,-2592.914,-2471.197,4716.781
grab_1216908737.169,4660.964,-2592.483,-2470.82,4714.541,grab_1216904630.691,4663.198,-2592.914,-2471.197,4716.781
grab_1216908737.369,4643.166,-2580.374,-2459.186,4696.489,grab_1216904632.745,4640.147,-2577.016,-2455.913,4693.397
grab_1216908738.192,4643.166,-2580.374,-2459.186,4696.489,grab_1216904632.745,4640.147,-2577.016,-2455.913,4693.397
grab_1216908738.364,4631.663,-2571.862,-2450.982,4684.806,grab_1216904633.554,4637.651,-2575.141,-2454.105,4690.861
grab_1216908739.211,4628.802,-2569.691,-2448.889,4681.9,grab_1216904633.780,4622.803,-2563.733,-2443.099,4675.771
grab_1216908739.414,4614.748,-2558.463,-2438.042,4667.606,grab_1216904634.911,4613.029,-2555.871,-2435.501,4665.829
grab_1216908740.232,4614.748,-2558.463,-2438.042,4667.606,grab_1216904634.911,4613.029,-2555.871,-2435.501,4665.829
grab_1216908740.403,4603.97,-2549.117,-2428.991,4656.627,grab_1216904635.931,4603.464,-2547.748,-2427.641,4656.09
grab_1216908741.251,4598.63,-2544.313,-2424.334,4651.184,grab_1216904636.614,4598.778,-2543.557,-2423.579,4651.313
grab_1216908741.485,4588.218,-2534.366,-2414.676,4640.556,grab_1216904636.815,4587.349,-2532.655,-2412.994,4639.649
grab_1216908742.275,4588.218,-2534.366,-2414.676,4640.556,grab_1216904636.815,4587.349,-2532.655,-2412.994,4639.649
grab_1216908742.445,4575.576,-2521.469,-2402.135,4627.633,grab_1216904637.977,4576.304,-2521.233,-2401.882,4628.355
grab_1216908743.295,4573.133,-2518.848,-2399.583,4625.133,grab_1216904637.977,4576.304,-2521.233,-2401.882,4628.355
